shiwilu_norm,fold
ma'pu'su'ta'wantechu,1
a'lek'tutek'nuka'a,3
neriapalli,2
musu'ñapalli,1
sullimanwanpalli,4
welliek'apawina,0
ma'tulli,4
ma'nen'nu'tula,1
ma'nenpawanpalli,2
enpi'ta'wantulli,3
enpi'teke'chu,4
den'katu'pa'tulli,2
tekinchinuka'ma,4
kadu'lunsu'ñapala,3
paker',4
tekker',1
ta'ituler',4
wa'ten'ker',1
wa'ten'ku',1
yamer,0
yamerku',1
usanker',2
yunsanker',3
wiperi'u,2
lau'ter,1
lau'tuku',2
paker'uti'la,3
da'encher',0
da'encha'ku',3
ku'ladai'nchu,2
tai'tuler',0
tai'tula'u,2
luwuk'tu'u,2
lli'u,3
lli'dek'ku',2
yawellekta,4
yawellektama',4
yatumu'ta,1
wa'tenter'asek,4
wa'tenku'asek,3
li'ker'la,1
ñapaker'musu'kankantusu',3
yamercha,3
kencher'vinu',3
ekpa'ker'asu',2
wenller'kenmasa',4
wenller'dasu'la,2
yawa'tentuta,3
yalamapu'ta,4
lli'ker'asu',4
lli'ku'asu',3
yennitulapa'a'masu',2
wintu'ua'pinta,1
yennitulan'challi'ta'mak,0
yainyututama',2
yennitulauk'a'mak,0
yennitulakatu'pa'ta'mak,4
yennitulalunta'mak,1
yennitapaladekkunta'mak,0
yennitulama'dekkunta'mamak,4
katu'pa'u,3
katu'pa'udek,4
kencher'asek,0
peklu'uma'isik,4
yennitulawichi'a'mak,2
weker'eklli,4
wiu'su'nu'ter',1
kualeknu'ter',2
yaweyta,1
enka'u,0
enka'unu'unta'lusa',3
enka'unanalusa',4
nanekwatenker',3
sekdiperker'nana,4
a'wencher',1
wa'tender'nanek,4
wa'tenchi'nek,0
ta'itula'utekle'richek,3
a'pinta'nu'tawa',4
nu'tawa'nana,1
adipika'awa',1
yennitulayunsan'a'mak,3
yennitulalli'a'mak,0
yanantapita,3
luwantulekna'pia'musu',0
luwantulekneriak,2
luwantuleksaka'tak,4
ku'lasaka'chi'ñi,2
ipa'pinanerker',1
ta'itula'upae'chek,1
ekpa'kerkenmalek,4
inpaleriaper',0
dunker'aper'i'la,4
ta'itula'ukuasa',0
ta'itula'uwintechen,2
ta'itula'ulauk'echek,1
ta'itula'dek'ku'idenmaina',1
weranwa'asek,0
lau'ker'musu',3
lau'ker'asu',1
yennitullinalli'er'kenmuak,0
yennitulakanan'a'mak,3
yennitulalauk'a'muk,4
yennitulalauk'a'mudek,0
yennitulakatupa'a'muk,2
yennitulamakatupa'a'muk,3
yennitulaek'ker'cha'mak,1
yennitulaa'lli'a'muk,1
llinser'ker'asu',1
llinser'ku'nana,4
neriker'u'chimu,4
iwa'taper'i'la,1
inlu'uk'ter,1
u'chimuñiñuduker,3
ma'pu'sin,4
pante'chek,3
inlli'ter,2
muwencha'ku',4
muwencha'ker',3
mulusa',3
muuklli,2
musu'paskua',3
muer'wa,4
muek'kilala,3
mudekpilli',3
muukliseñula',2
muer'wapapinku,2
ma'pu'sinamisha,4
ma'pu'sinkaiksha,0
ma'pu'sintata,1
ma'pu'sinawa,0
pante'chekawa,0
pante'chektata,3
eklliwalek,0
eklliinlli'ter,1
neri'i,4
neri'ina',1
musu'uklli'i,3
mukankanamilusa',2
wiuk'su'walek,3
ma'isikinlli'ter,2
ma'pu'sinseñula',0
musu'pa'ichi'in,1
musu'pa'ich'inma',3
da'encher'kenma,4
da'encha'ku'yusmalek,2
mukankankaikualusa',0
ma'pu'sinma'wilauk'lusa',2
ma'pu'sinku'tin,2
pante'chekteklapin,4
pante'cekyalli'wa,1
pante'cekpapinkulusa',0
er'wawalek,4
uklliak'walek,2
ukllinanter'musu',2
ukllinanchina'musu',1
ma'sikinlli'ter,3
ma'pu'sinkawipa'musu',1
mapusinshiwilulun,3
nalukla,0
pante'chekkawipa'musu',3
pante'chekseñula',4
inluuk'ter',4
inluuk'tuku',3
inluuk'chii,3
ma'isik'welek,3
inlli'terma'isikwalek,3
ma'pu'sinmuda'uk,4
pa'echekpapinkulusa',2
pa'echekamisha,2
pa'echekshawa,1
pa'echekseñula',1
pa'echekkawipa'musu',4
enpu'nimusu'ektu'la,1
muektu'kerker'ñinaluk,4
muektu'kerku'ñinaluk,1
muektu'kerku'shiwiluk,1
muektu'kerker'pidik,4
muektu'kerku'pidik,0
musu'ektu'kerla,2
ektu'kerlamusu',4
ipa'ektu'kerla,1
ipa'ektu'kerllina',3
ipa'la'kaektu'kerla,1
pante'chekinlli'ter,0
ipa'pante'chek,0
ipa'inlli'ater,4
pante'chekipa',2
pa'aterwa'ipa',4
mupker',2
mupaina',1
mupai,1
ma'pu'sinmeksin,3
ma'pu'sinekdulun,3
muuklliamilusa',2
mudekpilli'sha'wa,0
mudekpillawa,4
mudekpilli'tata,2
mudekpilli'wilauk'lusa,1
mudekpilli'amisha,1
dekpilli'walek,4
enpu'nimuipa'lli'apallen,4
