shiwilu_norm,split
muektu'kerker'ñinaluk,train
enpu'nimusu'ektu'la,train
mudekpilli'tata,train
iwa'taper'i'la,train
ku'lasaka'chi'ñi,train
ipa',train
empu'niwa'danpintek'ipa',train
ñapawineknanpiladasu',train
ma'pu'sintata,train
ñimanennalu,train
ta'itula'ukuasa',train
ektu'kerlamusu',train
pa'a'kawa'su'ñapalli,train
enka'lliuwue'inu,train
musu'nuka'a,train
a'sakek'lliuñinanlu',train
llitapalekmusu',train
yen'nichinpu'lli,train
indekllitapalabulichi,train
kenmalatektapala,train
mudekpillawa,train
pante'chekteklapin,train
empu'nidakuta,train
mukankaninpu',train
mulli'ncha',train
wa'danpilapilundek,train
musu'ektu'kerla,train
nu'la'su',train
dek'lek'inpu',train
ka'apalekwayupi,train
yawellektama',train
paker',train
ma'nenpawanpalli,train
usanker',train
kana'tulek,train
nanasa'chaiñer',train
a'perlliu,train
a'sakeklliuuklliapila'su',train
ma'tulli,train
tekker',train
a'ñapalek,train
wenller'kenmasa',train
ñapalekala'sa'enmu'pinenlek,train
ñidenpek'klu'chi'ñi,train
ipa'lachek'lek,train
ma'pu'su'ikerlli,train
nantapipawantulek,train
lli'inutapala,train
mudekpilli'wilauk'lusa,train
yawa'tentuta,train
luwuk'tu'u,train
chimiñi,train
ñinpi'lulentapi'nek,train
ñinpi'lunpi'ñidek,train
ma'sikinlli'ter,train
pa'echek,train
pektunsu'ñapawinek,train
lauk'llien,train
pa'tulliu,train
ta'wantulli,train
muektu'kerku'shiwiluk,train
mudinui'nek,train
ñinchitapalekma'tapallinpa',train
asu'a'cha,train
ma'isik'welek,train
chiter'lek'inpu',train
ninchichi'nek,train
ma'pu'sinma'wilauk'lusa',train
kana'tula,train
yennituleklata'ak,train
ta'itula'ulauk'echek,train
yennituleknu'tak,train
musu'kankanchi'nek,train
ñidenpektawachi'ñi,train
enpu'nipa'ikerchulekdinlupiuk,train
tantenamukatu'pa'palek,train
yunsu'lek,train
sanek'wantuwinek,train
ma'pu'sinmuda'uk,train
nu'su'nuka'a,train
peklu'tula,train
kenmakin'cha,train
ikermutu'lek,train
dakuti'ñi,train
u'la'su',train
da'encher'kenma,train
iyatulli,train
a'pinta'luwantulek,train
muer'wa,train
turkanuka'ka,train
ñidentra'tapi'ñi,train
a'pinchi,train
mullincha',train
ipa'ñinchitulek,train
muuklliamilusa',train
muwencha'ku',train
enpu'niyuipa',train
yennitulakanan'a'mak,train
ipa'ektu'kerla,train
tekinchi,train
wa'danpindekñapala,train
nu'tulek'wa',train
ñapawineklupersu',train
ñapalekmudinusu',train
yennitulalunta'mak,train
tekinchi'cha'ñapalama,train
lu'wan'nun,train
wa'tenku'asek,train
menminwi'ñi,train
paku'llipu'tudek'kunku',train
luwer'chapalun,train
yennitullinalli'er'kenmuak,train
yennitulekwa'lun'ak,train
tekuala'nawañi,train
uapi'nek,train
da'encha'ku'yusmalek,train
lu'wanekpapinku,train
ñapaleksakek'su',train
mudekpilli',train
tekinchinuka'ma,train
wer'lliek,train
ajámusu'nu'pi,train
ekpa'ker'asu',train
ñidenmapi'ñi,train
ñinpi'pur'api'ñidek,train
tekinchi'cha'ñapala,train
yusu'ñapala,train
nu'su'ñiwiñi,train
u'wa'tapala,train
ka'api'nek,train
ñidenuk'api'ñi,train
yamercha,train
iñer'chiyekllina',train
weranwa'asek,train
pawantuliuker',train
ajáluwantechek,train
ipa'ukluka'lli,train
muektu'kerku'ñinaluk,train
ñidenpur'api'ñi,train
dekpilli'walek,train
ipallia'i'ñiker',train
ñi'ñidek,train
sakek'lek,train
wiuk'su'walek,train
ñinpi'ñinchitapi'bek,train
tra'pi'nek,train
musu'itula,train
enka'u,train
ñinpi'shauklupi'li,train
llia'ternu'su',train
a'sakek'lliu,train
aseka'cha,train
tantenñen,train
a'wue'inutulliu,train
tantenwinek,train
musu'a'kakanchinu,train
lli'ku'asu',train
lunnek,train
ajásakeklek,train
pa'echekamisha,train
enpu'mushipa',train
pa'echekpapinkulusa',train
wa'ten'ku',train
enñupa'chañapalek,train
ladawi'ñi,train
ta'itula'utekle'richek,train
ma'pu'su'tula,train
ker'a'sakeklliu,train
ñinpi'uklliapi'ñi,train
katu'pa'udek,train
luwantulli,train
lau'tuku',train
tekinchintana,train
pante'chek,train
enpu'nipa'a'sakek'lliushiwilu,train
ñinchitapaleklun'ak,train
den'katu'pa'tulli,train
ñinpi'kalu'chi'ñidek,train
ajámulli,train
pa'echekkawipa'musu',train
ipa'pante'chek,train
ma'pu'su'ta'wantechu,dev
chimipiñapala,dev
anu'lek,dev
mer'su'ñapala,dev
ñinchichi'nek,dev
inluuk'chii,dev
a'perchapalek,dev
yulek,dev
enpu'wue'inuipa',dev
inapiñapala,dev
ipa'akusutulek,dev
tai'tula'u,dev
inlu'uk'ter,dev
lansa'palek,dev
kulliker'wi'ñidek,dev
kencher'vinu',dev
katu'pa'u,dev
iyatudeklek,dev
muwiñin,dev
a'imanantulliu,dev
ipa'inlli'ater,dev
tekinchimalek,dev
musu'pa'ichi'in,dev
ta'wantullichiter',dev
a'dakuta'lliu,dev
diuk'lek'inpu',dev
aseknanpipalek,dev
ektu'pi'nek,dev
ajáenka'ker',dev
yennitulaek'ker'cha'mak,dev
ñinpi'shaa'lekchi'ñi,dev
nerpi'laempu'nipa',dev
nañia'su',dev
chacha'wanpala,dev
pawantulekdek,dev
musu'pa'ich'inma',dev
ñidenlauk'tapi'ñi,dev
inanpilatekñapawinek,dev
mapusinshiwilulun,dev
nakusu'ikermutu'lek,dev
a'ñapallidekdudimpu'nu'ta'kawa'su',dev
enka'unanalusa',dev
enpu'nimushipa'menmin,dev
ñinpi'uapi'ñiuklupidek,dev
mudekpilli'amisha,dev
ma'pu'sinekdulun,dev
wue'inua'lliupi,dev
tantenlek'wa',dev
ñinpi'saka'tapi'ñi,dev
welliek'apawina,dev
lanerapalekgas,dev
tuleknu'tulek,dev
enpuniukawanñinpa',dev
ta'itula'upae'chek,dev
insekdiperpi,dev
er'wawalek,dev
enpu'nidakuta'ipa,dev
mapa'lek,dev
llinser'ker'asu',dev
lau'ker'asu',dev
tekinchiajá,dev
wer'su'ñapala,dev
nu'su'nu'tecek,dev
llillinpenma'nu'tulama',dev
ekpa'ak,dev
pante'chekipa',dev
pante'chektata,dev
pa'in'chek,dev
yennitapaladekkunta'mak,dev
wek'lli,dev
menminñapalli,dev
ñidenakusutapi'ñi,dev
luwantulekna'pia'musu',dev
llinser'ku'nana,dev
ukllinanchina'musu',dev
kadu'lunsu'ñapala,dev
pa'aterwa'ipa',dev
ker'ñapalli,dev
a'sakeklliusek'ker'cha'kasu',dev
nanapi'la,dev
pante'chekawa,dev
pa'chi'ñin'cha,dev
u'chimuñiñuduker,dev
ku'latupiapi'nek,dev
ikerchulekwa'dan'uk,dev
tekinchi'cha,dev
a'pinta'nu'tawa',dev
ñinchidinupalek,dev
ñidenlunpi'ñi,dev
ñiden,dev
yuspeinet'echun,dev
naektu'kellia,dev
diukñapalli,dev
yennituleka'nañiak,dev
da'encha'ku',dev
yennitulapa'a'masu',dev
uklupidekñapalli,dev
neriapalli,test
ñienpi',test
asha,test
uku'latapalekwa'nateka'asu',test
nu'tula,test
musu',test
ukllin'cha,test
pita'wi'ñi,test
neriker'u'chimu,test
wa'danpitek,test
chiter'ñapalli,test
ñinchitapalekidun'ak,test
pa'echekseñula',test
enpu'nipa'lu'wanek,test
ku'lalachek'i'nek,test
kenmau'wa'tapala,test
penlek'inpu',test
asu'luwantulek,test
wueranñapalli,test
nanatekaklli,test
ñi'ñidiuk,test
yennitulauk'a'mak,test
denlamapu'lli,test
ipa'ektu'kerllina',test
ipa'la'kaektu'kerla,test
nañillinu'su',test
ma'pu'sinamisha,test
mulusa',test
ajátumu'tapi'ñenma',test
ajátumu'pi'nek,test
wer'su'ñapallidek,test
iyalli,test
saka'dek,test
enpi'ta'wantulli,test
dakuta'tek,test
muek'kilala,test
inluuk'tuku',test
a'lenmek'lliu,test
ku'lañinchitapi'nek,test
ajáípa'ñapalli,test
imananempu'nipa',test
ker'lek'inpu',test
ipa'wuer'lli,test
wueranlek'inpu',test
yennitulayunsan'a'mak,test
luwantulekneriak,test
ajáinsek'diperpi,test
turkunuka'ka,test
luwantuwinun,test
ajánananuka'a,test
yennitulan'challi'ta'mak,test
luwanchi'nek,test
enpunipa'ikerlli,test
luwer'chapalli,test
mudekpilli'sha'wa,test
yanantapita,test
mukankan'i'ñi,test
eklliwalek,test
shaw,test
peklu'uma'isik,test
pante'cekyalli'wa,test
ñienpi'sha,test
ker'lliawi'ñi,test
tomkatu'pa'tulli,test
muukliseñula',test
uki'lalek,test
ukeñan,test
nana'cha,test
ta'ituler',test
yennitulakatupa'a'muk,test
teka'per'aterwa',test
mapu'la,test
uktañapalli,test
ipa'tullina',test
yennitulekwa'kana'tak,test
ñinpi'ektu'pi'ñi,test
katu'pa'katu'pa',test
kenmawichi'wina',test
wa'tenter'asek,test
mupallin'cha,test
mupai,test
lu'wan'nekawauk,test
iya'tula,test
lau'ker'musu',test
musu'ñapi'nek,test
ñidenluuk'api'ñi,test
peklu'piñapalek,test
wa'tenchi'nek,test
a'ta'wantullidek,test
luwantudek'lek,test
ma'pu'sinku'tin,test
yainyututama',test
perlek,test
wawiin,test
ta'itula'uwintechen,test
a'wencher',test
yamerlek'wa',test
empu'niluyaipa',test
